analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_Ghana_l	education_Ghana_m	education_Ghana_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
KLRD1	-0.0200574679439323	-0.00806245958860971	0.00393254876671287	-0.0538091354679969	-0.03506729447588	-0.016325453483763	-0.231362462651568	-0.156823916595401	-0.0822853705392339	-0.500797054659044	-0.223829638634077	0.0531377773908907	-0.131603191972215	-0.0170488285129204	0.0975055349463739	-0.34634796582017	-0.0157767372074971	0.314794491405176	-0.0500385626151783	-0.0232917043436882	0.00345515392780191
GZMB	-0.0150369750783663	-0.00132860510018357	0.0123797648779992	-0.0137350157985806	0.0076839013694268	0.0291028185374342	-0.220916222522983	-0.135730623921849	-0.0505450253207155	-0.315318315656142	0.00121100206515623	0.317740319786454	-0.171211552586298	-0.0402942951407535	0.0906229623047915	-0.709375304280857	-0.331585429382258	0.0462044455163407	-0.0637376726494938	-0.0331703051180733	-0.00260293758665278
CD83	-0.00182934115423694	0.00275162571329727	0.00733259258083148	-0.0177852878925392	-0.0106276644813488	-0.00347004107015834	-0.0592174320748447	-0.0307507066068331	-0.00228398113882144	-0.180461719557844	-0.0746861737130644	0.0310893721317154	0.0205427099685199	0.0642917202229096	0.108040730477299	-0.00249662391572897	0.123750544971216	0.249997713858162	-0.011292242433378	-0.00107745408786084	0.00913733425765629
IL12	-0.000140304581309293	0.00831114377221847	0.0167625921257462	-0.0105972631098972	0.00260787160137801	0.0158130063126532	-0.0976307160149633	-0.0451123138863634	0.00740608824223642	-0.296842799404784	-0.101696973507433	0.0934488523899185	-0.202182666001443	-0.121469901343979	-0.040757136686514	-0.170697941702925	0.0622160824496742	0.295130106602273	-0.0329783958028931	-0.0141330824354939	0.00471223093190533
CSF1	0.000348768846799556	0.00325245026202164	0.00615613167724372	-0.00971109410563571	-0.00517417893527577	-0.000637263764915822	-0.0411869676308232	-0.0231431126796987	-0.00509925772857417	-0.122226500661121	-0.0551798496951027	0.0118668012709152	-0.0234461089300212	0.00428454088330303	0.0320151906966272	-0.026604169134919	0.0534185790363086	0.133441327207536	-0.00323612123785584	0.00323860166169452	0.00971332456124487
ARG1	-0.00298825117691921	-0.00111746572434345	0.000753319728232307	-0.00553882416654247	-0.00261577797566739	0.00030726821520768	-0.013421822418872	-0.00179651766815468	0.00982878708256263	-0.0240031209173733	0.0191937320891599	0.0623905850956932	-0.00614916714126847	0.011717151108825	0.0295834693589185	-0.0701031064437929	-0.0185460064227439	0.033011093598305	-0.00711458317774548	-0.00294304516175019	0.00122849285424511
IL4	-0.00266912144065525	0.000326610408941689	0.00332234225853863	-0.00523131653988927	-0.000550575325127828	0.00413016588963361	-0.0261657763986647	-0.00754990804505709	0.0110659603085505	-0.105723050196349	-0.0365509341870769	0.0326211818221953	-0.0455965728168712	-0.016986825748789	0.0116229213192933	-0.0361112901037553	0.0464482820766132	0.129007854256982	-0.00626541000852734	0.000414569932045501	0.00709454987261834
IL5	-0.0290747285995121	-0.00887725572500319	0.0113202171495057	-0.0277181608827646	0.00383978504302295	0.0353977309688105	-0.240483033886566	-0.114973303715621	0.0105364264553238	-0.536051272365278	-0.06968712266422	0.396677027036838	-0.106852552551303	0.0860367377341067	0.278926028019516	0.00491194983425458	0.56153544064115	1.11815893144805	-0.0459151587620267	-0.000878179344080485	0.0441588000738657
CD28	-0.0038220943996416	0.000776351760624479	0.00537479792089056	-0.0113758875727771	-0.00419095329065336	0.00299398099147034	-0.0322528692837651	-0.00367752521143666	0.0248978188608918	-0.187175316670635	-0.0809961700613974	0.0251829765478405	-0.0719582851657802	-0.0280423447023148	0.0158735957611506	-0.144373292128854	-0.0176444102574329	0.109084471613988	-0.0130312545860747	-0.00277749034729133	0.00747627389149208
FGF2	-0.00896099468989794	-0.00131060992024847	0.00633977484940101	-0.0234155070459046	-0.0114620101717103	0.000491486702484095	-0.103096768305513	-0.0555562797449629	-0.00801579118441282	-0.168826112371676	0.00782297685604025	0.184472066083757	0.0159653914122025	0.089027863029156	0.16209033464611	-0.101259828756696	0.109577631105556	0.320415090967809	-0.0014827626162763	0.0155763132171626	0.0326353890506015
