a0	a0.2	a0.4	a0.6	a0.8	a1
0.713920566260322	0.64931293996665	0.645318677075098	0.649334719368575	0.651173480092426	0.651006048624735
0.713969720802202	0.683896385063754	0.682856923560279	0.683162873604262	0.683550225138899	0.682930922155371
0.714018875344082	0.717848813489009	0.711806920959497	0.717115611482501	0.712691702713331	0.711020448289422
0.714068029885961	0.742331891466772	0.7410538733779	0.739972473456547	0.738153755407	0.734565473849784
0.714166338969721	0.756832481321274	0.755800235941801	0.752015336217066	0.751179709005112	0.746362563900904
0.714117184427841	0.764992135273299	0.762780180888714	0.761453008257963	0.757963035784506	0.755357845064884
0.714117184427841	0.76941604404247	0.767990562327959	0.766663389697208	0.76341918993315	0.759929217459693
0.714117184427841	0.770448289421943	0.770055053086905	0.770300825796304	0.767744789618561	0.765827762485254
0.71426464805348	0.771185607550138	0.772414471097129	0.773495871018482	0.773938261895399	0.772709398348407
0.714362957137239	0.771234762092017	0.775117970900511	0.777772316162013	0.780230043255997	0.779591034211561
0.714412111679119	0.772414471097129	0.777575697994495	0.781016515926072	0.784653952025167	0.78563704286276
0.714510420762879	0.774036570979158	0.779492725127802	0.78416240660637	0.787062524577271	0.788832088084939
0.714657884388518	0.776051907196225	0.780770743216673	0.78426071569013	0.787406606370429	0.788586315375541
0.714657884388518	0.777133307117578	0.781557215886748	0.783179315768777	0.785145497443964	0.786079433739677
0.714657884388518	0.777182461659457	0.781409752261109	0.780180888714117	0.783179315768777	0.782835233975619
0.714756193472277	0.776641761698781	0.780279197797876	0.777575697994495	0.781065670467951	0.780475815965395
0.714903657097916	0.775806134486827	0.778657097915847	0.77526543452615	0.777575697994495	0.775953598112466
0.715100275265435	0.775068816358632	0.775707825403067	0.771775462052694	0.773053480141565	0.77089068029886
0.715247738891074	0.77379079826976	0.772168698387731	0.769219425874951	0.770005898545026	0.768039716869839
0.715395202516713	0.770988989382619	0.769809280377507	0.766958316948486	0.767597325992922	0.766270153362171
0.715542666142352	0.769710971293748	0.768236335037357	0.765041289815179	0.765631144317735	0.764795517105781
0.71573928430987	0.768482107746756	0.766909162406606	0.763714117184428	0.763861580810067	0.763075108139992
0.715985057019269	0.768285489579237	0.765336217066457	0.762780180888714	0.762681871804955	0.76189539913488
0.716181675186787	0.768334644121117	0.765287062524577	0.762092017302399	0.760813999213527	0.761846244593
0.716378293354306	0.767695635076681	0.763763271726308	0.760617381046009	0.759634290208415	0.763075108139992
0.716869838773103	0.766122689736532	0.762681871804955	0.760863153755407	0.758552890287062	0.763173417223751
0.717361384191899	0.764254817145104	0.761649626425482	0.759142744789619	0.757668108533228	0.76337003539127
0.717754620526937	0.763664962642548	0.760715690129768	0.75594769956744	0.758307117577664	0.763173417223751
0.718147856861974	0.762092017302399	0.758257963035784	0.754620526936689	0.756390090444357	0.762534408179316
0.718836020448289	0.760174990169092	0.758012190326386	0.753145890680299	0.75452221785293	0.761354699174204
0.719671647660244	0.758749508454581	0.757127408572552	0.752408572552104	0.752457727093984	0.759437672040897
0.7202615021628	0.756783326779394	0.755013763271726	0.750884781753834	0.750147463625639	0.755800235941801
0.720802202123476	0.755357845064884	0.753784899724735	0.749705072748722	0.748279591034211	0.752359418010224
0.721342902084153	0.754620526936689	0.75294927251278	0.74847620920173	0.745871018482108	0.749066063704286
0.722031065670468	0.751867872591427	0.750245772709398	0.745133700353913	0.742872591427448	0.746854109319701
