instance	a0_median	a0_mad	a0.2_median	a0.2_mad	a0.4_median	a0.4_mad	a0.6_median	a0.6_mad	a0.8_median	a0.8_mad	a1_median	a1_mad
3017	0.96483711454751	0.139126235010126	1.0758628807377	0.125570077075616	1.00940058747185	0.140396289307926	0.966027518327185	0.139186362437912	0.92402432362428	0.13828626100626	0.890043932200665	0.0930506180515354
590	0.459690804258491	0.125460796851449	0.502305041823137	0.0805173474029072	0.471587009559867	0.0917611356261603	0.43968141258995	0.083270859369385	0.397086490474423	0.0949413757164573	0.381376750874751	0.0816442547532231
1334	1.14017553324959	0.200750141611535	1.52810138430834	0.153878510520941	1.79236147289232	0.247623264318175	1.93481190559152	0.27001445394264	2.0728737831506	0.334255956513582	2.14181636803895	0.321458353399314
2556	1.76801709435327	0.399061502182628	1.42479724187517	0.21837323014438	1.55356045841403	0.256026215193429	1.66562445409488	0.306005658609668	1.79758467112652	0.326393515541654	1.7370936728489	0.247362382804831
2349	1.21726456010048	0.178864284323813	1.12039281063392	0.098222108686701	0.96449762346658	0.113315979343032	0.888535345710072	0.11466310708933	0.834900368584868	0.104944870052151	0.833259870508977	0.110086673479725
561	0.667136692032723	0.116537486130093	0.990501003812848	0.0817618023141964	0.895451476772234	0.10808213968039	0.884346246894297	0.0902224598303303	0.836356061555261	0.0952921668046551	0.850867139479596	0.0785830736509028
2646	0.508707321862597	0.133196241725739	0.762133033069768	0.0614039716072316	0.656260762350037	0.0710143958466698	0.58550475495062	0.0649564848947864	0.531685508290771	0.0600762534325232	0.532087725287086	0.0687549547738764
338	3.37791529406913	0.734826429827787	2.37322232920555	0.298709989065777	2.8403439197663	0.508639083209373	3.06519750669982	0.408134353204596	3.57303837089998	0.450742392880256	3.50743760831027	0.58906932269657
2333	1.29837045108992	0.263580365693468	1.13225565426405	0.107877297938569	1.18029772006558	0.114344152097985	1.15546537711974	0.108774360199182	1.18063992125372	0.112473857777076	1.15382424960286	0.0874395747386035
2348	0.38360184491053	0.0520683063159913	0.736593358142863	0.049964559905147	0.676746287282841	0.0555746524365742	0.676518825771781	0.0555992369928515	0.625228198459354	0.0530535504889674	0.636901711326898	0.0617059009191359
2112	0.407170646888068	0.0597451394222313	0.528691222280162	0.0702264129931573	0.508047419802041	0.0626285455249153	0.487992772678354	0.0671679574652137	0.46962722593374	0.0735362766166179	0.452306535261283	0.0636018531030921
1135	9.25476835501693	2.53851428703855	4.20995832749293	0.863927232401832	4.65594763823494	0.956235591052253	5.01969025483751	1.07463865113219	5.26363998451469	1.17681653622497	5.24798907258093	1.09407251625459
966	0.664189901253828	0.174727461740901	0.784973931320965	0.0873561578271134	0.778962928742882	0.093723653386518	0.820977935935189	0.102637170547677	0.812067617329217	0.129727429069097	0.839106435718449	0.134528987019235
629	0.703382653929749	0.107172023091322	0.687980236329466	0.0537411199609755	0.652530259664699	0.080996917558908	0.638511744944556	0.0789033056849579	0.593464620819463	0.0636559699924132	0.628010877673007	0.076969273557336
2437	1.28338849433539	0.283865996129251	1.12323733746234	0.0916690617085641	1.03175825378985	0.102428472344225	0.987389710826434	0.105405213339743	0.951350429412012	0.100258811662237	0.947878085007112	0.10394111466739
2834	6.59407006946113	1.88392275971288	3.50757216009022	0.662401581774402	4.45414603180818	1.13996192349605	4.70062453853851	1.08810598163248	5.66300218501692	1.37674382432842	5.16489872465359	1.15875163732092
509	1.9726629603714	0.285189700940434	1.15887527497415	0.136792326204688	1.09460626080293	0.144857320252144	1.02095645096668	0.160529587184213	0.961116259557073	0.156999337836654	0.882260607100806	0.121469343890763
689	0.807983499075313	0.146719563860001	1.10091267129661	0.125306252063456	1.13094495532995	0.191534214617194	1.10634139279298	0.162130420462843	1.15452382701002	0.192992634176692	1.14673397302857	0.119425583075315
133	8.33715976954753	2.74131547708214	2.84732276228912	0.677536542129924	2.70697874697915	0.547229366836724	2.65743817383106	0.608477470061468	2.88782672306472	0.692588391818722	2.6407789044381	0.649163298796368
1974	1.01167287918669	0.212537178354471	0.941983244247165	0.0964153650827593	0.815484530855819	0.124272285743023	0.73234929254887	0.0981415271274386	0.686707194294922	0.0940979395593085	0.682763902116909	0.108785882538303
779	1.81025700161401	0.448637814476277	1.19635166476806	0.14222229822111	1.18484281829296	0.155670265986868	1.20626732047012	0.154465145920869	1.232382778953	0.161796338686374	1.16939012167817	0.129152578265596
1312	0.730490869508101	0.0955401816501581	0.767090421307377	0.0585624547340774	0.743386159637305	0.0748272909046452	0.751580142290136	0.0761459789625441	0.725259693909414	0.0799844447898302	0.726561605606154	0.0969185329937741
692	4.28816103717611	1.32183763533102	1.74034886692895	0.309808140900408	1.5336150592911	0.29854908568004	1.5258589398123	0.346554697332231	1.44585190304506	0.34104667619387	1.33910549241983	0.304148451916704
3070	0.808837680385927	0.12967344378397	0.896583935105886	0.0758829780109039	0.933837000516922	0.0906804436445595	0.958599928094345	0.107036399366994	0.992046395110518	0.0999628105051198	0.979307877929654	0.0861961298151045
201	0.976857928060169	0.189565860985541	0.881278187882139	0.116179352100471	0.86960103160011	0.113887350678459	0.883585446289434	0.103233774116578	0.88567913326485	0.11194268879367	0.848630595935102	0.102150560143938
1720	0.316518064433806	0.0776377964429515	0.62926168559131	0.076418720401093	0.6133894550973	0.095705141304046	0.608530805427522	0.0804227006860602	0.598795463720232	0.0871557648683319	0.585214179323392	0.0889890575331893
1298	2.0201290556984	0.572162045874718	2.07364037448697	0.29142199182789	2.3367227552661	0.369951207531041	2.4798006676365	0.384408252504379	2.65369977816858	0.466558680250565	2.65669947953168	0.369767825388371
2007	1.92361077853336	0.510434160017563	0.915821010753591	0.0961632241288315	0.904231093596986	0.117046216090919	0.904349188532768	0.121383303079317	0.893604445413093	0.0952153783622955	0.856907523858027	0.0891885617678311
1563	5.27259784015098	1.30034753779511	2.90780579399217	0.553151779630588	3.12496380690498	0.634620825791549	3.09026715568517	0.506821123205609	3.35773549030922	0.549375791716177	3.19020038692113	0.503726033638419
2347	0.553316258408276	0.135398855517016	0.721596894738912	0.0440093633582992	0.612991075603377	0.0629672723954184	0.566758378658838	0.055854838150525	0.502329010969237	0.062462816646674	0.513907009189338	0.0637902751202286
2563	0.720616733373719	0.140206491261016	0.898197980172451	0.0922548285245768	0.944912934723467	0.151880320157076	0.945192817394428	0.152031175129737	0.966903755951049	0.170084889555872	0.935588113939634	0.135128422393263
2295	1.93875547715956	0.433879495021229	1.00964613770222	0.13958424172702	0.961913369713685	0.238365990115317	0.911272844640285	0.228491496604722	0.880870313341073	0.235509719948683	0.811449633909732	0.183496362592385
431	1.11207826492331	0.216763338673032	0.762766758657784	0.105986786383905	0.859418408774184	0.150169289621892	0.924548954045474	0.116131912491733	0.98387526847792	0.134722398417751	1.03731739347774	0.129827390957235
2740	0.870389867478445	0.124445410112198	1.04949521092323	0.0853799964349544	1.1105393915044	0.111438113171379	1.13106363478976	0.104218764551507	1.18495228795097	0.112116346029622	1.18755980592978	0.108030807762878
955	0.429179222447564	0.118764712409643	0.698639957120443	0.0940801863907619	0.646666883382572	0.113147513012219	0.618572186968126	0.0909443433691794	0.595860113838085	0.0872603905354904	0.574572858388079	0.0730173725353651
2341	0.772763646550556	0.184944449823318	1.05563533163463	0.0874691486603389	1.18899739477286	0.109746115483646	1.26027361263508	0.118378765995475	1.29838784752324	0.146552295140489	1.34908183713262	0.130016369975373
194	1.81216917133863	0.406687921265981	1.40860501845494	0.0988941848211785	1.6090476578555	0.175344025845426	1.74107742742811	0.228954728134277	1.90605727288282	0.28686902044392	2.01401028271994	0.30699780099202
77	0.860616424391288	0.126885053740144	0.606801739270553	0.0769902529348648	0.478066733179631	0.0758526122758663	0.456280045639429	0.0763905868250077	0.394519423638656	0.0511973039784723	0.419205768372131	0.0655975517007369
2948	0.775565647705651	0.147298608298737	1.00386911054422	0.0980099693958496	0.930984724426589	0.127401260571829	0.851141533306297	0.12498183984518	0.805708664178093	0.121312678791075	0.779795565788219	0.102522801055234
